poster_id,block_label,block_bbox,block_content
1,header_image,"[150, 59, 365, 274]",""
1,doc_title,"[529, 88, 3227, 184]",HelpSteer2-Preference: Complementing Ratings with Preferences
1,header,"[929, 198, 2933, 296]","Zhilin Wang, Alexander Bukharin, Olivier Delalleau, Daniel Egert, Gerald Shen, Jiaqi Zeng, Oleksii Kuchaiev, Yi Dong {zhilinw, yidong}@nvidia.com"
1,header_image,"[3341, 61, 3929, 178]",""
1,paragraph_title,"[585, 348, 1366, 400]",Why do we need HelpSteer2-Preference?
1,text,"[137, 448, 1094, 489]",It's unclear what the best approach for Reward Modelling is
1,text,"[176, 490, 1369, 529]","Bradley-Terry models: OpenAI InstructGPT, Anthropic HH-RLHF, Meta Llama 3"
1,text,"[181, 530, 1231, 572]","○ Regression models: Nemotron 4 340B Reward, RLHFlow ArmoRM 8B"
1,text,"[137, 572, 1027, 609]",• We need matched data for both approaches to find out
1,text,"[180, 612, 828, 652]",○ Identical set of prompts and responses
1,text,"[179, 652, 1432, 693]",○ Collected for Purpose: Retrofitting Regression data for preference is not sufficient
1,text,"[180, 694, 1434, 735]",o High Quality: Garbage in; Garbage out – need to ensure high signal to noise ratio
1,text,"[138, 736, 893, 775]",Open-source dataset to support open science
1,text,"[175, 773, 1514, 817]",○ Data Gap: There’s currently no open-source dataset that fulfills all of the criteria above
1,text,"[91, 827, 1825, 875]","The community needs a high-quality, matched and open-source Preference data to accompany Regression data"
1,figure_title,"[111, 1019, 1689, 1114]",Regression and Bradley-Terry perform similarly but can complement each other to reach No. 1 on Reward Bench with Overall 94.1 (on 1 Oct 2024).
1,table,"[112, 1139, 1837, 1765]","<table><tr><td rowspan=""2"">Model Type</td><td rowspan=""2"">Model</td><td rowspan=""2"">Overall</td><td rowspan=""2"">Chat</td><td colspan=""2"">RewardBench</td><td rowspan=""2"">Reasoning</td></tr><tr><td>Chat-Hard</td><td>Safety</td></tr><tr><td rowspan=""2"">SteerLM Regression</td><td>HelpSteer Attributes</td><td>92.4</td><td>95.0</td><td>85.5</td><td>94.0</td><td>95.1</td></tr><tr><td>Helpfulness Only</td><td>93.0</td><td>97.2</td><td>84.2</td><td>94.6</td><td>95.8</td></tr><tr><td rowspan=""3"">Bradley-Terry (from scratch)</td><td>Regular</td><td>91.5</td><td>97.5</td><td>80.3</td><td>90.5</td><td>97.9</td></tr><tr><td>Margin</td><td>91.5</td><td>98.0</td><td>78.5</td><td>94.6</td><td>94.8</td></tr><tr><td>Scaled</td><td>92.7</td><td>97.8</td><td>83.5</td><td>93.2</td><td>96.0</td></tr><tr><td rowspan=""4"">Bradley-Terry (init. with Helpfulness-only Regression Model)</td><td>Regular</td><td>92.7</td><td>98.9</td><td>82.9</td><td>93.7</td><td>95.4</td></tr><tr><td>Margin</td><td>93.0</td><td>98.3</td><td>83.8</td><td>94.0</td><td>95.8</td></tr><tr><td>Scaled</td><td>93.7</td><td>98.0</td><td>85.7</td><td>94.3</td><td>96.7</td></tr><tr><td>Scaled + ExPO</td><td>94.1</td><td>97.5</td><td>85.7</td><td>95.1</td><td>98.1</td></tr><tr><td rowspan=""2"">External Baselines</td><td>Skywork-Reward-Gemma-2-27B</td><td>93.8</td><td>95.8</td><td>91.4</td><td>91.9</td><td>96.1</td></tr><tr><td>TextEval-Llama3.1-70B</td><td>93.5</td><td>94.1</td><td>90.1</td><td>93.2</td><td>96.4</td></tr></table>"
1,paragraph_title,"[726, 948, 1227, 1001]",Reward Modelling Results
1,figure_title,"[772, 1914, 1190, 1969]",Scaled Bradley-Terry
1,vision_footnote,"[113, 1792, 1665, 1877]",Optimal form of Bradley-Terry is Scaled Bradley-Terry which uses preference strength to scale loss proportionally
1,display_formula,"[102, 2027, 1128, 2111]"," $$ \mathcal{L}_{\mathcal{B T}}=-\log\left(\sigma(r_{\theta}(x,y_{c})-r_{\theta}(x,y_{r}))\right) $$ "
1,text,"[1479, 2023, 1876, 2107]",Regular BT [1]
1,display_formula,"[102, 2148, 1252, 2232]"," $$ \mathcal{L}_{\mathcal{M}\mathcal{B}\mathcal{T}}=-\log\left(\sigma(r_{\theta}(x,y_{c})-r_{\theta}(x,y_{r})-m)\right) $$ "
1,text,"[1478, 2149, 1876, 2233]",Margin BT [2]
1,display_formula,"[100, 2270, 1183, 2351]"," $$ \mathcal{L}_{\mathcal{S}\mathcal{B}\mathcal{T}}=-m\log\left(\sigma(r_{\theta}(x,y_{c})-r_{\theta}(x,y_{r}))\right) $$ "
1,text,"[1390, 2259, 1872, 2338]",Scaled BT (ours)
1,paragraph_title,"[2612, 344, 3258, 396]",HelpSteer2-Preference: Overview
1,text,"[105, 2383, 1870, 2526]","reward ( $ r_{\theta} $ ) for the chosen response ( $ y_{c} $ ) and the rejected response ( $ y_{r} $ ) with the same prompt (x) magnitude (m) of this preference (1 - slightly better, 2 - better, 3 - much better)"
